stamp;x;y;z
07/11/2020 12.35.01;-0,28975195;0,014913702;-0,16298546
07/11/2020 12.35.02;0,07456851;0,013848438;0,058589544
07/11/2020 12.35.02;-0,036218993;-0,03834952;-0,026631612
07/11/2020 12.35.02;0,17576863;-0,04261058;0,11611383
07/11/2020 12.35.02;0,13528858;-0,025566347;0,128897
07/11/2020 12.35.02;0,19600865;-0,0010652645;0,14168017
07/11/2020 12.35.02;0,098004326;-0,02876214;0,046871636
07/11/2020 12.35.03;0,06711166;-0,007456851;0,033023197
07/11/2020 12.35.37;-0,19281286;0,035153728;-0,13635385
07/11/2020 12.35.37;-0,19707392;0,025566347;-0,1257012
07/11/2020 12.35.37;-0,043675844;-0,013848438;-0,029827405
07/11/2020 12.35.37;0,572047;0,0010652645;0,29933932
07/11/2020 12.35.37;0,1949434;-0,00958738;0,12676647
07/11/2020 12.35.38;-0,05006743;-0,0127831735;0,00958738
07/11/2020 12.35.38;0,12250541;0;0,066046394
07/11/2020 12.35.38;-0,04474111;-0,008522116;-0,039414786
07/11/2020 12.35.38;0;0,00958738;-0,017044231
07/11/2020 12.35.38;-0,21518342;0,025566347;-0,1555286
07/11/2020 12.37.34;0,0053263223;0,022370555;-0,0053263223
07/11/2020 12.37.34;0,29294774;0,002130529;0,11824436
07/11/2020 12.37.34;0,14594123;-0,002130529;0,07563378
07/11/2020 12.37.34;-0,257794;-0,0063915867;-0,098004326
07/11/2020 12.39.53;0,05539375;0,026631612;-0,011717909
07/11/2020 12.39.53;-0,2066613;0,049002163;-0,16724652
07/11/2020 12.39.53;-0,18642128;0,049002163;-0,15126756
07/11/2020 12.39.53;-0,025566347;0,02876214;-0,035153728
07/11/2020 12.39.53;0,08948222;0,0053263223;0,022370555
07/11/2020 12.40.40;0,05752428;-0,040480047;0,060720075
07/11/2020 12.40.40;0,054328486;-0,039414786;0,0958738
07/11/2020 12.40.40;-0,10972224;-0,029827405;0,0031957934
07/11/2020 12.41.45;-0,18109496;0,011717909;-0,111852765
07/11/2020 12.41.45;-0,0958738;0,018109497;-0,049002163
07/11/2020 12.41.45;-0,049002163;-0,0031957934;-0,02130529
07/11/2020 12.42.20;0,22690132;-0,020240024;0,10865697
07/11/2020 12.42.20;-0,13954964;0,051132694;-0,12996227
07/11/2020 12.42.20;-0,0063915867;0,05752428;-0,068176925
07/11/2020 12.42.20;0,15446335;0,05219796;0,04474111
07/11/2020 12.42.20;0,19281286;0,03089267;0,06498113
07/11/2020 12.42.20;0,19387813;0,017044231;0,05752428
07/11/2020 12.42.21;0,03195793;0,0127831735;0
07/11/2020 12.42.21;0,09374327;0,015978966;0,05965481
07/11/2020 12.42.21;0,035153728;0,0127831735;0,0010652645
07/11/2020 12.42.21;0,07989483;0,0127831735;0,002130529
