stamp;x;y;z
07/11/2020 12.29.53;-4,8614264;-6,7803793;6,101623
07/11/2020 12.29.53;-4,8398786;-6,6391215;5,8322754
07/11/2020 12.29.53;-4,829105;-6,0824695;6,136339
07/11/2020 12.29.53;-5,2002063;-7,0245876;5,884948
07/11/2020 12.29.53;-4,0533834;-7,441179;4,7560816
07/11/2020 12.29.53;-4,710592;-7,015011;6,003461
07/11/2020 12.29.53;-4,4723687;-6,841431;6,2009826
07/11/2020 12.29.53;-4,5501804;-6,4152637;5,9687448
07/11/2020 12.29.53;-4,6698904;-6,7971387;6,2823853
07/11/2020 12.29.53;-4,9057193;-6,7480574;6,1686606
07/11/2020 12.29.53;-4,9799395;-6,367379;6,0465565
07/11/2020 12.29.53;-4,763264;-6,7241154;6,2261214
07/11/2020 12.29.53;-4,5286326;-6,8043213;6,0489507
07/11/2020 12.29.53;-4,6830587;-6,4882865;5,9986725
07/11/2020 12.29.53;-4,8159366;-6,633136;5,995081
07/11/2020 12.29.53;-4,817134;-6,6965823;6,129156
07/11/2020 12.29.53;-4,7680526;-6,731298;6,0477533
07/11/2020 12.29.53;-4,71538;-6,7348895;6,1770406
07/11/2020 12.29.53;-4,6471453;-6,432023;6,218939
07/11/2020 12.29.53;-4,5980644;-6,637924;6,256049
07/11/2020 12.29.53;-4,663905;-6,3470287;6,2823853
07/11/2020 12.29.53;-4,630386;-6,459556;5,985504
07/11/2020 12.29.53;-4,5657425;-6,531382;6,05733
07/11/2020 12.29.53;-5,258864;-6,7612257;6,211756
07/11/2020 12.29.53;-4,7429137;-6,4188547;6,361394
07/11/2020 12.29.53;-4,3837833;-6,3589997;6,6247563
07/11/2020 12.29.53;-4,665102;-6,269217;6,3218894
07/11/2020 12.29.53;-4,307169;-6,3218894;7,751228
07/11/2020 12.29.53;-3,301604;-4,9667716;6,5984197
07/11/2020 12.29.53;-4,6962266;-7,513005;7,0844426
07/11/2020 12.29.53;-4,1120415;-6,71813;6,3470287
07/11/2020 12.29.53;-4,417302;-7,001843;5,7867856
07/11/2020 12.29.53;-4,531027;-7,0844426;5,7161565
07/11/2020 12.29.53;-4,4448357;-6,728904;5,931635
07/11/2020 12.29.53;-4,024653;-7,0808516;5,8442464
07/11/2020 12.29.53;-4,3119574;-7,4842744;6,1866174
07/11/2020 12.29.53;-4,277241;-6,945579;6,033388
07/11/2020 12.29.53;-3,9025488;-7,301118;6,229713
07/11/2020 12.29.53;-4,107253;-6,7205243;5,771223
07/11/2020 12.29.53;-3,526659;-5,7161565;4,7046065
07/11/2020 12.29.53;-5,1343656;-7,529764;6,445191
07/11/2020 12.29.53;-3,9145198;-6,338649;5,993884
07/11/2020 12.29.53;-4,1946416;-6,191406;6,3793507
07/11/2020 12.29.53;-4,76087;-6,5924344;6,621165
07/11/2020 12.29.53;-3,5913026;-6,7600284;6,791153
07/11/2020 12.29.53;-4,1515455;-6,7600284;6,6486983
07/11/2020 12.29.53;-4,3873744;-6,6486983;6,64391
07/11/2020 12.29.53;-4,2940006;-6,9599442;6,483498
07/11/2020 12.29.53;-4,0078936;-6,9467764;6,221333
07/11/2020 12.29.53;-4,4196963;-6,6510925;6,2225304
07/11/2020 12.29.53;-4,8578353;-6,991069;6,18542
07/11/2020 12.29.53;-4,2341456;-6,6666546;6,4667387
07/11/2020 12.29.53;-3,9228995;-6,7731967;6,4667387
07/11/2020 12.29.53;-4,26527;-6,931214;6,482301
07/11/2020 12.29.53;-4,0497923;-6,691794;6,3542113
07/11/2020 12.29.53;-4,380192;-7,1945763;6,742072
07/11/2020 12.29.53;-4,5046906;-6,5924344;6,363788
07/11/2020 12.29.53;-4,405331;-6,867768;6,307524
07/11/2020 12.29.53;-4,200627;-6,779182;6,5122285
07/11/2020 12.29.53;-3,7217865;-6,941988;6,554127
07/11/2020 12.29.53;-4,349067;-6,867768;6,337452
07/11/2020 12.29.53;-4,332308;-6,671443;6,3063273
07/11/2020 12.29.53;-4,158728;-6,728904;6,5086374
07/11/2020 12.29.53;-4,256891;-6,8342485;6,8929067
07/11/2020 12.29.53;-3,7936125;-5,6215854;6,528988
07/11/2020 12.29.53;-3,9731777;-6,766014;6,953959
07/11/2020 12.29.53;-4,11683;-7,004237;6,8569937
07/11/2020 12.29.53;-4,177882;-5,755661;6,187814
07/11/2020 12.29.53;-3,738546;-7,1167645;6,6247563
07/11/2020 12.29.53;-3,9863458;-7,1634517;6,661866
07/11/2020 12.29.53;-4,110844;-6,408081;6,3470287
07/11/2020 12.29.53;-4,0701427;-7,0221934;6,4044895
07/11/2020 12.29.53;-4,083311;-6,909666;6,337452
07/11/2020 12.29.53;-4,1036615;-6,8545995;6,3985043
07/11/2020 12.29.53;-3,9827545;-6,728904;6,64391
07/11/2020 12.29.53;-3,9492357;-6,588843;6,527791
07/11/2020 12.29.53;-3,843891;-6,7360864;6,38773
07/11/2020 12.29.53;-4,134786;-6,95755;6,479907
07/11/2020 12.29.53;-4,349067;-6,6666546;6,338649
07/11/2020 12.29.53;-3,6212301;-6,587646;6,767211
07/11/2020 12.29.53;-3,693056;-6,706159;7,0820484
07/11/2020 12.29.53;-4,1132383;-6,242881;7,422025
07/11/2020 12.29.53;-3,9348705;-6,6630635;6,9348054
07/11/2020 12.29.53;-4,0545807;-6,3697734;6,7803793
07/11/2020 12.29.53;-5,1798553;-4,6112323;5,708974
07/11/2020 12.29.53;-3,9264908;-5,8586116;6,591237
07/11/2020 12.29.53;-3,7181952;-5,9160724;8,35337
07/11/2020 12.29.53;-3,4811692;-6,7205243;6,5026517
07/11/2020 12.29.53;-5,0254292;-6,908469;7,489063
07/11/2020 12.29.53;-2,906561;-4,298789;6,2141504
07/11/2020 12.29.53;-5,6084175;-6,7624226;8,279149
07/11/2020 12.29.53;-5,0026846;-5,4791307;6,859388
